20
69
t0 tc tt tmax Np Nc Nloop Nreal Nt ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 s1 s2 s3 amp elong device shot shotslice Omgt0 Omgtprim turb_model Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF x_corr t_corr X0 Y0 Z0 Tw Ew pitch Aw Zw position_type pitch_type energy_type USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 1 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 1.2105263 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 1.4210526 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 1.6315789 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 1.8421053 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.0526316 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2631579 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.4736842 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.6842105 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.8947368 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1000 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
